127.0.0.1 - - [21/Mar/2024:20:56:04 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Mar/2024:20:56:05 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [21/Mar/2024:20:56:08 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [21/Mar/2024:20:56:11 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [21/Mar/2024:20:56:28 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2024:20:56:29 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3643
0:0:0:0:0:0:0:1 - - [21/Mar/2024:20:56:35 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10757
0:0:0:0:0:0:0:1 - - [21/Mar/2024:20:56:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Mar/2024:20:56:39 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2024:20:56:40 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8731
0:0:0:0:0:0:0:1 - - [21/Mar/2024:20:56:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Mar/2024:20:57:56 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8757
0:0:0:0:0:0:0:1 - - [21/Mar/2024:20:57:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Mar/2024:20:59:07 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8731
0:0:0:0:0:0:0:1 - - [21/Mar/2024:20:59:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Mar/2024:21:00:03 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8948
0:0:0:0:0:0:0:1 - - [21/Mar/2024:21:00:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Mar/2024:21:00:25 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8902
0:0:0:0:0:0:0:1 - - [21/Mar/2024:21:00:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Mar/2024:21:00:34 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8900
0:0:0:0:0:0:0:1 - - [21/Mar/2024:21:00:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Mar/2024:21:00:40 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8385
0:0:0:0:0:0:0:1 - - [21/Mar/2024:21:00:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Mar/2024:21:00:50 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2024:21:00:50 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10757
0:0:0:0:0:0:0:1 - - [21/Mar/2024:21:00:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
